match,article,pre_kickoff,kickoff,ratio
2022 final (ARG-FRA),2022 FIFA World Cup,5245,15219,2.9
2022 final (ARG-FRA),Argentina national team,1038,3399,3.3
2022 final (ARG-FRA),France national team,893,2775,3.1
2022 final (ARG-FRA),Lionel Messi,1984,7582,3.8
2018 final (FRA-CRO),2018 FIFA World Cup,6039,10192,1.7
2018 final (FRA-CRO),France national team,1103,3269,3.0
2018 final (FRA-CRO),Croatia national team,1561,4801,3.1
2022 semifinal (FRA-MAR),2022 FIFA World Cup,7830,10616,1.4
2022 semifinal (FRA-MAR),France national team,1419,3155,2.2
2022 semifinal (FRA-MAR),Morocco national team,1557,3595,2.3
