nation,index,term,bps,se_bps,p,match_days
Brazil,IBOV,postL,61.2,62.9,0.3304,30
Brazil,IBOV,postW,40.8,36.1,0.2579,30
Brazil,IBOV,postD,-61.6,56.3,0.2739,30
Japan,NI225,postL,9.7,43.3,0.8231,16
Japan,NI225,postW,-78.2,62.8,0.2129,16
Japan,NI225,postD,-45.7,41.3,0.2682,16
Germany,DAX,postL,-48.2,52.1,0.3555,23
Germany,DAX,postW,24.0,24.8,0.3342,23
Germany,DAX,postD,-34.0,19.9,0.0869,23
England,FTSE100,postL,-7.2,22.7,0.7521,20
England,FTSE100,postW,-4.9,32.1,0.879,20
England,FTSE100,postD,50.4,18.6,0.0067,20
