spec,outcome,term,coef,se,p,n
all_mapped,lvol,foreign_match,0.04071703856119486,0.06190421786279244,0.5122614605490612,545907
all_mapped,lvol,own_match,0.10405861622225737,0.07372298635376143,0.16130238316940293,545907
all_mapped,ltrades,foreign_match,0.041489231342846884,0.06155899873228244,0.5019301067460424,545907
all_mapped,ltrades,own_match,0.0892929168537861,0.06877450189499557,0.19724781040385708,545907
all_mapped,absret,foreign_match,4.773081333640755e-06,1.2334547778774096e-05,0.6996272109869917,545902
all_mapped,absret,own_match,7.456760170005834e-06,1.0270187419632409e-05,0.46955101145908396,545902
fx_only,lvol,foreign_match,0.09600185414788288,0.06495631288918019,0.14266229497318794,325733
fx_only,lvol,own_match,0.1388736025240932,0.08411784330774034,0.10198479143888273,325733
fx_only,ltrades,foreign_match,0.08657410642112398,0.062146241468136194,0.16678280613140428,325733
fx_only,ltrades,own_match,0.11794196667069175,0.08054155552292969,0.14632864255645583,325733
fx_only,absret,foreign_match,1.6096886559748473e-06,6.099856080832568e-06,0.792424800739044,325730
fx_only,absret,own_match,7.197761030309863e-06,8.748482624233035e-06,0.41267164426682656,325730
2022_only,lvol,foreign_match,0.021067140238929017,0.09513224815031886,0.8257213533240662,264472
2022_only,lvol,own_match,0.08153779293803606,0.11163567014489796,0.46885439385206085,264472
2022_only,ltrades,foreign_match,0.018601058246871305,0.09317941556993226,0.842652741997099,264472
2022_only,ltrades,own_match,0.07383766315232682,0.1194059745316004,0.5393782268741223,264472
2022_only,absret,foreign_match,9.266820685347482e-06,2.1869555240153968e-05,0.6737364808424382,264472
2022_only,absret,own_match,1.841585376203443e-05,2.2506832260336485e-05,0.4174421758925029,264472
placebo_+1d,lvol,foreign_match,0.04771074780311857,0.061506576599679584,0.43981235281884934,545907
placebo_+1d,lvol,own_match,-0.034623642230029325,0.11489197157885088,0.7637864179141829,545907
placebo_+1d,ltrades,foreign_match,0.04612514125307755,0.06109182428998124,0.45207029711456004,545907
placebo_+1d,ltrades,own_match,-0.04753021555532092,0.1024317959657127,0.6436743995109153,545907
placebo_+1d,absret,foreign_match,5.966556156849215e-06,1.2278539143241812e-05,0.6281100963833861,545902
placebo_+1d,absret,own_match,-1.2423388128821113e-06,7.4322552467366845e-06,0.8675960480644394,545902
