term,coef,se,t,p,n,outcome,group
lvol/BTC,-0.04173448728146385,0.040827532130243885,-1.0222143025526669,0.3083937090298827,309878,lvol,BTC
lvol/ETH,-0.02059030794716248,0.048223729832772774,-0.42697460396705644,0.6700355318902509,309863,lvol,ETH
lvol/spot,-0.02719407824249142,0.0363316803192423,-0.748494922435191,0.45538247268303866,415261,lvol,spot
lvol/perp,-0.03979859289632097,0.06963190076858043,-0.571556893565069,0.5694529604209877,204480,lvol,perp
ltrades/BTC,-0.03304097656722358,0.03487392231461351,-0.9474407916937448,0.345001429628649,309878,ltrades,BTC
ltrades/ETH,-0.014802863259005181,0.03816877981848269,-0.3878264730861819,0.6987171401993326,309863,ltrades,ETH
ltrades/spot,-0.016242688026216857,0.02864019763780787,-0.567129048186976,0.5715095247468569,415261,ltrades,spot
ltrades/perp,-0.04059300876491116,0.06259831607469377,-0.6484680628864623,0.5188039332213337,204480,ltrades,perp
absret/BTC,-2.2738103004344225e-05,2.812739946544785e-05,-0.8083969167599755,0.42019564457897407,309878,absret,BTC
absret/ETH,-1.997668321308042e-05,3.505741139602785e-05,-0.569827674593905,0.5696824948909871,309878,absret,ETH
absret/spot,-1.1099664558220685e-05,2.6554493331850333e-05,-0.4179957199525017,0.6765728984096557,415276,absret,spot
absret/perp,-4.356689386340009e-05,4.902669592174094e-05,-0.8886361408679043,0.3772421785576823,204480,absret,perp
hlrange/BTC,-3.879359552821836e-05,5.411723291268995e-05,-0.7168436640285363,0.4746316417699208,309878,hlrange,BTC
hlrange/ETH,-4.718804290527862e-05,7.194662706025548e-05,-0.6558756794221711,0.5129506890078614,309878,hlrange,ETH
hlrange/spot,-3.3003491482236333e-05,5.2374643974060475e-05,-0.6301425456673639,0.529599989615017,415276,hlrange,spot
hlrange/perp,-6.46148624211082e-05,9.831412093101144e-05,-0.6572287053906475,0.5131891089164098,204480,hlrange,perp
