tournament,match_no,round_no,stage,knockout,group,venue,host_country,venue_tz,kickoff_utc,home,away,teams_known,home_iso,away_iso,home_score,away_score,played,winner,total_goals,margin,draw,rel_fx,rel_fxfut,rel_etf,rel_index,usa_playing,euro_playing,gbp_playing,jpy_playing,host_team_playing,win_pre60_start,win_ko,win_ht,win_2h,win_ft_nominal,win_post60_end,windows_nominal
2018,1,1,group,False,Group A,"Luzhniki Stadium, Moscow",Russia,Europe/Moscow,2018-06-14 15:00:00+00:00,Russia,Saudi Arabia,True,,SAU,5.0,0.0,True,Russia,5.0,5.0,False,,,KSA,SASEIDX,False,False,False,False,True,2018-06-14 14:00:00+00:00,2018-06-14 15:00:00+00:00,2018-06-14 15:45:00+00:00,2018-06-14 16:00:00+00:00,2018-06-14 16:45:00+00:00,2018-06-14 17:45:00+00:00,True
2018,2,1,group,False,Group A,Ekaterinburg Stadium,Russia,Asia/Yekaterinburg,2018-06-15 12:00:00+00:00,Egypt,Uruguay,True,EGY,,0.0,1.0,True,Uruguay,1.0,1.0,False,,,EGPT,,False,False,False,False,False,2018-06-15 11:00:00+00:00,2018-06-15 12:00:00+00:00,2018-06-15 12:45:00+00:00,2018-06-15 13:00:00+00:00,2018-06-15 13:45:00+00:00,2018-06-15 14:45:00+00:00,True
2018,3,1,group,False,Group B,Saint Petersburg Stadium,Russia,Europe/Moscow,2018-06-15 15:00:00+00:00,Morocco,Iran,True,,,0.0,1.0,True,Iran,1.0,1.0,False,,,,,False,False,False,False,False,2018-06-15 14:00:00+00:00,2018-06-15 15:00:00+00:00,2018-06-15 15:45:00+00:00,2018-06-15 16:00:00+00:00,2018-06-15 16:45:00+00:00,2018-06-15 17:45:00+00:00,True
2018,4,1,group,False,Group B,"Fisht Stadium, Sochi",Russia,Europe/Moscow,2018-06-15 18:00:00+00:00,Portugal,Spain,True,PRT,ESP,3.0,3.0,True,Draw,6.0,0.0,True,EURUSD,6E,EWP,"IBEX,PSI",False,True,False,False,False,2018-06-15 17:00:00+00:00,2018-06-15 18:00:00+00:00,2018-06-15 18:45:00+00:00,2018-06-15 19:00:00+00:00,2018-06-15 19:45:00+00:00,2018-06-15 20:45:00+00:00,True
2018,5,1,group,False,Group C,Kazan Arena,Russia,Europe/Moscow,2018-06-16 10:00:00+00:00,France,Australia,True,FRA,AUS,2.0,1.0,True,France,3.0,1.0,False,"AUDUSD,EURUSD","6A,6E","EWA,EWQ","AS51,CAC",False,True,False,False,False,2018-06-16 09:00:00+00:00,2018-06-16 10:00:00+00:00,2018-06-16 10:45:00+00:00,2018-06-16 11:00:00+00:00,2018-06-16 11:45:00+00:00,2018-06-16 12:45:00+00:00,True
2018,6,1,group,False,Group D,"Otkrytiye Arena, Moscow",Russia,Europe/Moscow,2018-06-16 13:00:00+00:00,Argentina,Iceland,True,ARG,,1.0,1.0,True,Draw,2.0,0.0,True,,,ARGT,,False,False,False,False,False,2018-06-16 12:00:00+00:00,2018-06-16 13:00:00+00:00,2018-06-16 13:45:00+00:00,2018-06-16 14:00:00+00:00,2018-06-16 14:45:00+00:00,2018-06-16 15:45:00+00:00,True
2018,7,1,group,False,Group C,Saransk Stadium,Russia,Europe/Moscow,2018-06-16 16:00:00+00:00,Peru,Denmark,True,,,0.0,1.0,True,Denmark,1.0,1.0,False,,,,,False,False,False,False,False,2018-06-16 15:00:00+00:00,2018-06-16 16:00:00+00:00,2018-06-16 16:45:00+00:00,2018-06-16 17:00:00+00:00,2018-06-16 17:45:00+00:00,2018-06-16 18:45:00+00:00,True
2018,8,1,group,False,Group D,Kaliningrad Stadium,Russia,Europe/Kaliningrad,2018-06-16 19:00:00+00:00,Croatia,Nigeria,True,HRV,,2.0,0.0,True,Croatia,2.0,2.0,False,EURUSD,6E,,,False,False,False,False,False,2018-06-16 18:00:00+00:00,2018-06-16 19:00:00+00:00,2018-06-16 19:45:00+00:00,2018-06-16 20:00:00+00:00,2018-06-16 20:45:00+00:00,2018-06-16 21:45:00+00:00,True
2018,9,1,group,False,Group E,Samara Stadium,Russia,Europe/Moscow,2018-06-17 12:00:00+00:00,Costa Rica,Serbia,True,,,0.0,1.0,True,Serbia,1.0,1.0,False,,,,,False,False,False,False,False,2018-06-17 11:00:00+00:00,2018-06-17 12:00:00+00:00,2018-06-17 12:45:00+00:00,2018-06-17 13:00:00+00:00,2018-06-17 13:45:00+00:00,2018-06-17 14:45:00+00:00,True
2018,10,1,group,False,Group F,"Luzhniki Stadium, Moscow",Russia,Europe/Moscow,2018-06-17 15:00:00+00:00,Germany,Mexico,True,DEU,MEX,0.0,1.0,True,Mexico,1.0,1.0,False,"EURUSD,USDMXN","6E,6M","EWG,EWW","DAX,IPC",False,True,False,False,False,2018-06-17 14:00:00+00:00,2018-06-17 15:00:00+00:00,2018-06-17 15:45:00+00:00,2018-06-17 16:00:00+00:00,2018-06-17 16:45:00+00:00,2018-06-17 17:45:00+00:00,True
